Store no., STARHUB ETOP UP $8 , STARHUB ETOP UP $17 , STARHUB ETOP UP $18 , STARHUB ETOP UP $25 , STARHUB ETOP UP $28 , STARHUB ETOP UP $50 , Total $ ,Total Qty
430, $672.00 , $17.00 , $666.00 , $-   , $364.00 , $700.00 ," $2,419.00 ",149
432, $744.00 , $-   , $576.00 , $-   , $308.00 , $50.00 ," $1,678.00 ",137
436, $472.00 , $17.00 , $414.00 , $-   , $448.00 ," $2,600.00 "," $3,951.00 ",151
437, $160.00 , $17.00 , $288.00 , $-   , $224.00 , $-   , $689.00 ,45
438, $400.00 , $-   , $162.00 , $-   , $140.00 , $-   , $702.00 ,64
440, $80.00 , $-   , $126.00 , $-   , $56.00 , $100.00 , $362.00 ,21
441," $1,000.00 ", $17.00 , $954.00 , $-   , $420.00 , $50.00 ," $2,441.00 ",195
443," $1,232.00 ", $102.00 , $846.00 , $75.00 , $672.00 , $-   ," $2,927.00 ",234
445, $304.00 , $-   , $198.00 , $-   , $84.00 , $150.00 , $736.00 ,55
447, $328.00 , $17.00 , $162.00 , $-   , $140.00 , $-   , $647.00 ,56
449, $152.00 , $-   , $108.00 , $-   , $56.00 , $-   , $316.00 ,27
450, $968.00 , $34.00 , $828.00 , $-   , $476.00 , $100.00 ," $2,406.00 ",188
451, $144.00 , $-   , $72.00 , $50.00 , $84.00 , $-   , $350.00 ,27
452, $88.00 , $-   , $72.00 , $-   , $28.00 , $50.00 , $238.00 ,17
454, $120.00 , $-   , $54.00 , $-   , $28.00 , $-   , $202.00 ,19
455, $288.00 , $17.00 , $216.00 , $-   , $168.00 , $-   , $689.00 ,55
462, $344.00 , $-   , $414.00 , $-   , $308.00 , $-   ," $1,066.00 ",77
463, $216.00 , $-   , $198.00 , $-   , $28.00 , $-   , $442.00 ,39
464," $1,504.00 ", $85.00 ," $1,242.00 ", $-   , $476.00 , $-   ," $3,307.00 ",279
467, $304.00 , $17.00 , $198.00 , $-   , $196.00 , $50.00 , $765.00 ,58
469, $832.00 , $34.00 , $360.00 , $25.00 , $168.00 , $50.00 ," $1,469.00 ",134
470, $184.00 , $-   , $108.00 , $-   , $140.00 , $-   , $432.00 ,34
471, $160.00 , $-   , $162.00 , $-   , $168.00 , $150.00 , $640.00 ,38
472, $528.00 , $-   , $864.00 , $50.00 , $224.00 , $100.00 ," $1,766.00 ",126
476, $784.00 , $17.00 , $324.00 , $-   , $476.00 , $-   ," $1,601.00 ",134
479, $328.00 , $102.00 , $126.00 , $-   , $700.00 , $-   ," $1,256.00 ",79
486, $720.00 , $-   , $234.00 , $25.00 , $280.00 , $-   ," $1,259.00 ",114
487, $344.00 , $-   , $144.00 , $-   , $112.00 , $-   , $600.00 ,55
488, $744.00 , $34.00 , $288.00 , $-   , $280.00 , $50.00 ," $1,396.00 ",122
489, $776.00 , $51.00 , $306.00 , $25.00 , $448.00 , $-   ," $1,606.00 ",134
490, $360.00 , $-   , $450.00 , $-   , $224.00 , $350.00 ," $1,384.00 ",85
491, $392.00 , $17.00 , $252.00 , $-   , $308.00 , $-   , $969.00 ,75
494, $488.00 , $34.00 , $504.00 , $-   , $252.00 , $-   ," $1,278.00 ",100
497, $304.00 , $-   , $126.00 , $-   , $168.00 , $-   , $598.00 ,51
